"#",,Surname,Name,City/Nation,Role,Constituted on,Appointing Authority,Case,Note
"",,ANELLI,FRANCO,Milano (MI),Co-Arbitrator,12/01/2021,Claimant,CLOSED,
"",,NUZZO,ANTONIO,Roma (RM),Co-Arbitrator,12/01/2021,Respondent,CLOSED,
"",1,RIMINI,EMANUELE,Milano (MI),Chair,12/01/2021,Co-Arbitrators,CLOSED,
"",,OMISSIS,OMISSIS,Milano (MI),Co-Arbitrator,19/01/2021,Claimant,PENDING,
"",,DANOVI,REMO,Milano (MI),Co-Arbitrator,19/01/2021,Respondent,PENDING,
"",2,RIMINI,EMANUELE,Milano (MI),Chair,19/01/2021,Co-Arbitrators,PENDING,
"",,SALVANESCHI,LAURA,Milano (MI),Co-Arbitrator,29/01/2021,Claimant,CLOSED,
"",,MALATESTA,ALBERTO,Milano (MI),Co-Arbitrator,29/01/2021,Respondent,CLOSED,
"",3,KINDLER,PETER,München (DE),Chair,29/01/2021,Co-Arbitrators,CLOSED,
"",,BUSANI,ANGELO,Milano (MI),Co-Arbitrator,05/02/2021,Claimant,PENDING,
"",,SACCHI,ROBERTO,Milano (MI),Co-Arbitrator,05/02/2021,Respondent,PENDING,SUBSTITUTION
"",4,CARLEVARIS,ANDREA,Roma (RM),Chair,05/02/2021,Arbitral Council,PENDING,
"",,LANZA,ANTONELLA,Milano (MI),Co-Arbitrator,05/02/2021,Claimant,CLOSED,
"",,ROCCIOLETTI,GIUSEPPE,Pavia  (PV),Co-Arbitrator,05/02/2021,Respondent,CLOSED,
"",5,BORGHI,DEBORAH,Milano (MI),Chair,05/02/2021,Arbitral Council,CLOSED,
"",,PALERMO,GIULIO,Ginevra (CH),Co-Arbitrator,12/02/2021,Claimant,CLOSED,
"",,MANSANI,GIUSEPPE,Milano (MI),Co-Arbitrator,12/02/2021,Arbitral Council,CLOSED,
"",6,MONDINI,ANDREA,Milano (MI),Chair,12/02/2021,Arbitral Council,CLOSED,
"",7,PORTATADINO,CARLO,Milano (MI),Sole Arbitrator,12/02/2021,Arbitral Council,CLOSED,
"",8,BOTTERO,NICOLA,Torino (TO),Sole Arbitrator,16/02/2021,Arbitral Council,CLOSED,
"",9,SCOTTI,GIUSEPPE,Parma (PR),Sole Arbitrator,22/02/2021,Arbitral Council,PENDING,
"",10,GUZZETTI,PAOLO,Como (CO),Sole Arbitrator,22/02/2021,Arbitral Council,CLOSED,
"",,RUBINO SAMMARTANO,RUGGERO,Milano (MI),Co-Arbitrator,25/02/2021,Claimant,PENDING,
"",,LANDI,NICCOLÒ,Milano (MI),Co-Arbitrator,25/02/2021,Respondent,PENDING,
"",11,MUNARI,FRANCESCO,Genova (GE),Chair,25/02/2021,Arbitral Council,PENDING,
"",12,STASIO,GIULIANO,Verona (VR),Sole Arbitrator,25/02/2021,Arbitral Council,CLOSED,
"",,SCIUTO,GUIDO,Valguarnera Caropepe (EN),Co-Arbitrator,03/03/2021,Claimant,PENDING,
"",,RIMINI,EMANUELE,Milano (MI),Co-Arbitrator,03/03/2021,Respondent,PENDING,
"",13,ANGLANI,ANGELO,Roma (RM),Chair,03/03/2021,Arbitral Council,PENDING,
"",,MARICONDA,VINCENZO,Milano (MI),Co-Arbitrator,04/03/2021,Claimant,PENDING,
"",,DATTRINO,MASSIMO,Milano (MI),Co-Arbitrator,04/03/2021,Respondent,PENDING,
"",14,MARCHETTI,CARLO,Milano (MI),Chair,04/03/2021,Co-Arbitrators,PENDING,
"",ZIMATORE,ATTILIO,Roma (RM),Co-Arbitrator,12/03/2021,Claimant,PENDING,
"",LIPARI,NICOLO',Roma (RM),Co-Arbitrator,12/03/2021,Respondent,PENDING,
15,BRIGUGLIO,ANTONIO,Roma (RM),Chair,12/03/2021,Co-Arbitrators,PENDING,
"",MAURIZIO,TRAVERSO,Milano (MI),Co-Arbitrator,23/03/2021,Claimant,PENDING,
"",IANNACONE,GIUSEPPE,Milano (MI),Co-Arbitrator,23/03/2021,Respondent,PENDING,
16,GILIBERTI,ENRICO,Milano (MI),Chair,23/03/2021,Arbitral Council,PENDING,
17,ANSALDI,LYDIA,Piacenza (PC),Sole Arbitrator,23/03/2021,Arbitral Council,CLOSED,
"",BOCCA,RENATO,Milano (MI),Co-Arbitrator,24/03/2021,Claimant,CLOSED,
"",CASTELLI,LUCIANO,Milano (MI),Co-Arbitrator,24/03/2021,Respondent,CLOSED,
18,BIGLIERI,SARA,Milano (MI),Chair,24/03/2021,Co-Arbitrators,CLOSED,
19,SERRANI,TIZIANA,Roma (RM),Sole Arbitrator,29/03/2021,Arbitral Council,CLOSED,
"",AGOSTINELLI,EMANUELLA,Milano (MI),Co-Arbitrator,30/03/2021,Chair of Chamber of Arbitration,PENDING,
"",PROIETTO,FRANCESCA,Milano (MI),Co-Arbitrator,30/03/2021,Chair of Chamber of Arbitration,PENDING,
20,VESCOVI,ALEX,Caravaggio (BG),Chair,30/03/2021,Chair of Chamber of Arbitration,PENDING,
"",BENEDETTELLI,MASSIMO,Milano (MI),Co-Arbitrator,31/03/2021,Claimant,CLOSED,
"",GEMMA,ANDREA,Roma (RM),Co-Arbitrator,31/03/2021,Respondent,CLOSED,
21,SIRENA,PIETRO,Roma (RM),Chair,31/03/2021,Co-Arbitrators,CLOSED,
22,STABILINI,ALESSANDRA,Milano (MI),Sole Arbitrator,08/04/2021,Arbitral Council,PENDING,
"",BRIGUGLIO,ANTONIO,Roma (RM),Co-Arbitrator,19/04/2021,Claimant,PENDING,
"",ANNONI,MARCO,Roma (RM),Co-Arbitrator,19/04/2021,Respondent,PENDING,
23,BUSSOLETTI,MARIO,Roma (RM),Chair,19/04/2021,Co-Arbitrators,PENDING,
"",CORTESI,EMANUELE,Bergamo (BG),Co-Arbitrator,20/04/2021,Claimant,CLOSED,
"",FELLI,ENRICO CARLO,Bergamo (BG),Co-Arbitrator,20/04/2021,Respondent,CLOSED,
24,GINEVRA,ENRICO,Milano (MI),Chair,20/04/2021,Co-Arbitrators,CLOSED,
25,DE CRISTOFARO,GIANLUCA,Milano (MI),Sole Arbitrator,23/04/2021,Arbitral Council,CLOSED,
26,OLIVA,ROBERTO,Milano (MI),Sole Arbitrator,11/05/2021,Arbitral Council,CLOSED,
"",RESCIGNO,MATTEO,Milano (MI),Co-Arbitrator,12/05/2021,Claimant,CLOSED,
"",STAJANO,ERNESTO,Roma (RM),Co-Arbitrator,12/05/2021,Respondent,CLOSED,
27,COSTI,RENZO,Bologna (BO),Chair,12/05/2021,Co-Arbitrators,CLOSED,
"",AGOSTINELLI*,EMANUELLA,Milano (MI),Co-Arbitrator,12/05/2021,Chair of Chamber of Arbitration,CLOSED,*appointment repeated due to consolidated cases
"",PROIETTO*,FRANCESCA,Milano (MI),Co-Arbitrator,12/05/2021,Chair of Chamber of Arbitration,CLOSED,*appointment repeated due to consolidated cases
28,VESCOVI*,ALEX,Caravaggio (BG),Chair,12/05/2021,Chair of Chamber of Arbitration,CLOSED,*appointment repeated due to consolidated cases
"",DE NOVA,GIORGIO,Milano (MI),Co-Arbitrator,14/05/2021,Claimant,PENDING,
"",VERZONI,STEFANO,Milano (MI),Co-Arbitrator,14/05/2021,Respondent,PENDING,
29,GABRIELLI,ENRICO,Roma (RM),Chair,14/05/2021,Co-Arbitrators,PENDING,
"",BUCCOMINO,GIOVANNI,Milano (MI),Co-Arbitrator,20/05/2021,Claimant,CLOSED,
"",LANZA,ANTONELLA,Milano (MI),Co-Arbitrator,20/05/2021,Respondent,CLOSED,
30,PEZONE,FRANCESCO,Torino (TO),Chair,20/05/2021,Arbitral Council,CLOSED,
31,PICCINELLI,FABIO,Mantova (MN),Sole Arbitrator,20/05/2021,Arbitral Council,PENDING,
"",PAVESIO,CARLO,Torino (TO),Co-Arbitrator,21/05/2021,Arbitral Council,PENDING,
"",STANGHELLINI,LORENZO,Firenze (FI),Co-Arbitrator,21/05/2021,Arbitral Council,PENDING,
32,JARROSSON,CHARLES,Parigi (FR),Chair,21/05/2021,Arbitral Council,PENDING,
33,DUVIA,PAOLO,Milano (MI),Sole Arbitrator,27/05/2021,Arbitral Council,CLOSED,
